feature,correlation,mutual_info
atr_pct,0.01643504826707484,0.13548098695320387
vol_24h,0.009487236502598573,0.1131780552045969
vol_72h,0.006232353413264213,0.10823416759309445
vol_168h,0.00598943991878344,0.09699701958691609
bb_width,0.010347656863968359,0.09141869138804815
log_return_2h,-0.0562069767708595,0.06541845446352301
log_return_24h,-0.013157537772553128,0.06076707936706072
log_return_8h,-0.04050371957502621,0.057562473919652746
log_return,-0.045873834979111856,0.052394060487594984
log_return_4h,-0.04863057872148171,0.052280124745415435
macd_diff,-0.007173873367536991,0.03892868206088451
bb_pct,-0.0030083987158327796,0.012630704101749934
rsi_14,-0.0002785600845847441,0.006909711385763906
hour_cos,-0.00519840387471128,0.006204833899427609
rsi_28,0.004133948630492929,0.005073192471997778
volume_ratio,0.011316098314500943,0.0028029774343378833
hour_sin,-0.0070314663651289255,0.0015651645955667703
