feature,correlation,mutual_info
atr_pct,0.01500941149366775,0.13228383280102562
vol_24h,0.009216926650266345,0.11412032943087258
vol_72h,0.005610350425778388,0.10198937268189656
vol_168h,0.004959047600271893,0.09448405850694908
bb_width,0.010327130346755722,0.09313200157552437
log_return_2h,-0.051686740941835396,0.06732817666639512
log_return_24h,-0.011934973797158913,0.06055709323543912
log_return_8h,-0.036677268657715076,0.05669400399292002
log_return_4h,-0.04405463367957874,0.05656600408788748
log_return,-0.04359528094459462,0.053206562777359245
macd_diff,-0.006506399559040687,0.024027583357169036
bb_pct,-0.001189840690389726,0.014776834843268638
rsi_14,0.000895260781846881,0.012897806404782663
volume_ratio,0.008101521855573585,0.009325641227420078
hour_sin,-0.006217708268776422,0.005012351922664138
hour_cos,-0.004140088835084129,0.0024489470614939
rsi_28,0.00534336031080029,0.0011638110907696841
