feature,correlation,mutual_info
atr_pct,0.015220900313807741,0.1432568860346839
vol_24h,0.0092762919683423,0.12395013752569639
vol_72h,0.005686373804981938,0.11562502093565019
vol_168h,0.004985035364498028,0.10441897253238075
bb_width,0.009601006986081727,0.10030132847088602
log_return_2h,-0.05404557019057107,0.07263572006722008
log_return_24h,-0.011633085384776878,0.06336337143129178
log_return_8h,-0.03865858471673544,0.06247543080742357
log_return_4h,-0.045817095148392606,0.059343140019370466
log_return,-0.04566315235887,0.05649047809201413
macd_diff,-0.006570052762692888,0.03506714690692103
bb_pct,-0.0013001523521990587,0.013398502539910595
rsi_14,0.0010443557539394945,0.010516594347357966
volume_ratio,0.009956811181149685,0.004430796033076945
hour_cos,-0.00450363964389912,0.003028528706357392
hour_sin,-0.007426989413356337,0.0028564081469975022
rsi_28,0.005429899507703969,0.0025666358482157037
