feature,correlation,mutual_info
atr_pct,0.01714498056971809,0.14080959586253616
vol_24h,0.009124835464512296,0.11873632717733162
vol_72h,0.006110996507864989,0.11029332019067972
vol_168h,0.005098737491986533,0.10118992524524906
bb_width,0.010574276634598194,0.09888145613594634
log_return_2h,-0.06240380955352826,0.06810124201725998
log_return_24h,-0.015395860476274609,0.06546055093047443
log_return_8h,-0.04514033280322325,0.06303142879484191
log_return,-0.05167201099467866,0.057401827955987805
log_return_4h,-0.052993584530392934,0.055341671588988284
macd_diff,-0.009008209095720577,0.04773906418127716
bb_pct,-0.0037275833138924576,0.012566789570437109
rsi_14,-0.001070164229691342,0.008143952836938695
rsi_28,0.003453551335851851,0.005873548175259202
hour_cos,-0.005804663917444855,0.004105413792666823
volume_ratio,0.013508932093337322,0.0038788062981955918
hour_sin,-0.01021965768093408,0.0015991870088116755
